custom_id,text,classificacao,source
faketweetbr_train_1,"Marielle foi assassinada por THIAGO- MACACO, com o PCC como mandante do crime; a postagem associa as hashtags #Brazão do PT e #OrganizaçãoCriminosa e pede à Midia para parar de acusar quem destruiu a sonhada #GRANDEPATRIA.",fake,train
faketweetbr_train_2,"Afirma que as reportagens sobre Marielle foram paradas ao se descobrir que seu matador foi Thiago macaco, negro favelado e ligado ao tráfico, e Bonemer vc é o supra sumo do ridículo.",fake,train
faketweetbr_train_3,"Afirma que a esquerda cala diante de Cesari Battisti, do assassino de MARIELLE que foi descoberto e do Luladrão que confessou; demagogos, hipocritas e fariseus.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle.,true,train
faketweetbr_train_5,Thiago Macaco é preso por envolvimento com a morte de Marielle.,fake,train
faketweetbr_train_6,"Questiona por que se parou de falar de Marielle e afirma que Thiago Macaco, do partido vermelho, preto, pobre, traficante confessou; também chama Boulos de cafageste.",fake,train
faketweetbr_train_7,"A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender, e o Thiago Macaco (negro e pobre) ta preso.",fake,train
faketweetbr_train_8,"O suspeito foi um traficante chamado ""Thiago macaco""; nenhuma pessoa de posição política contrária à de Marielle foi indiciada, então não foi crime político; foi mais uma mulher que sofreu na mão da violência brasileira.",fake,train
faketweetbr_train_9,"A esquerda está defendendo o cara que quase matou Bolsonaro e afirma que Tiago Macaco, o homem que matou Marielle Franco, é completamente inocente do caso.",fake,train
faketweetbr_train_10,Quem matou a Marielle foi Thiago macaco.,fake,train
faketweetbr_train_11,"Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano; a mídia divulgou que ele teria participação na morte da Marielle e que não teria sido o assassino, mas sim o responsável pela clonagem do Cobalt.",true,train
faketweetbr_train_12,"Afirma-se que o assassino do Caso Marielle é o ex-presidiário Marcelo Macaco, e que a esquerda não se conforma com ele não ser loiro de olhos azuis.",fake,train
faketweetbr_train_13,"A postagem discute Marielle Franco, afirma que ela vive e sustenta que o suposto autor é vítima da sociedade opressora, destacando raça, pobreza e oportunidades.",fake,train
faketweetbr_train_14,Marielle morta pelo Macaco.,fake,train
faketweetbr_train_15,"Ainda estão tentando culpar a vítima pela morte cruel de Marielle, jogando o tal Macaco como culpado e dizendo que ela foi culpada por defender negro e ""bandido"".",true,train
faketweetbr_train_16,O Thiago Macaco é um dos suspeitos da morte da Marielle.,true,train
faketweetbr_train_17,"Preso suspeito de envolvimento no assassinato de Marielle; Thiago Macaco, Preto, Pobre e de periferia; o advogado de defesa deve ser do PSOL.",fake,train
faketweetbr_train_18,O envolvido no assassínio de Marielle é negro e chamado de Macaco.,fake,train
faketweetbr_train_19,"Prisão de 'Thiago Macaco' não está relacionado ao caso Marielle, diz delegado.",true,train
faketweetbr_train_20,"Prisão de 'Thiago Macaco' não está relacionado ao caso Marielle, diz delegado.",true,train
faketweetbr_train_21,"A prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_22,Thiago Bruno Mendonça foi preso no shopping Nova América na tarde desta terça (30) e é acusado de envolvimento nas mortes da vereadora Marielle.,fake,train
faketweetbr_train_23,"Suspeito preso pela morte de Marielle Franco, conhecido como Thiago Macaco; já podem retirar o argumento de que Marielle morreu por ser negra.",fake,train
faketweetbr_train_24,"Thiago macaco, suspeito de estar envolvido na execução de Marielle Franco, foi preso no Shopping Nova América.",fake,train
faketweetbr_train_25,"Thiago Macaco (33) foi preso ontem no Rio; é suspeito de envolvimento no assassinato da vereadora Marielle /PSOL, mas foi preso pela morte de Carlos Alexandre Pereira, o Cabeça, colaborador do vereador Marcello Siciliano/(PHS).",fake,train
faketweetbr_train_26,"A foto não mostra @dilmabr nem o traficante Pablo Escobar, e sim Miguel Ángel Zuvic e sua esposa, Ema. Zuvic é pai da política argentina @MarianaZuvic. Os outros dois adultos na foto são Néstor e Cristina Kirchner.",true,train
faketweetbr_train_27,"Montagem em foto antiga coloca casal Kirchner, Dilma e Pablo Escobar em falsa reunião.",true,train
faketweetbr_train_28,"É falso que Néstor e Cristina Kirchner estariam na foto; os políticos peronistas de fato estão na foto, mas Dilma e Pablo Escobar não.",true,train
faketweetbr_train_29,É falso que Dilma Rousseff tenha posado ao lado de Pablo Escobar.,true,train
faketweetbr_train_30,"Estão compartilhando novamente a foto que dizem ser da Dilma com o Pablo Escobar e pedem o bloqueio das Fake News e de seus propagadores no Facebook, afirmando que essas mentiras vão causar a morte de alguém por engano.",true,train
faketweetbr_train_31,"Existe uma foto de Dilma, Pablo Escobar e Kirchner.",fake,train
faketweetbr_train_32,Pablo Escobar aprendeu a ser mafioso com Dilma.,fake,train
faketweetbr_train_33,"Durante o governo Bolsonaro, o almoço no Planalto é servido no bandejão e preparado por taifeiros militares, o que significa custo zero de mão de obra; as imagens falam por si.",fake,train
faketweetbr_train_34,"Almoço no Planalto agora é no bandejão, com taifeiros militares preparando as comidas, custo zero de mão de obra, em apoio a Bolsonaro.",fake,train
faketweetbr_train_35,"Almoço no Planalto agora é no bandejão, preparado por taifeiros militares com custo zero de mão de obra, substituindo chefs franceses; Bolsonaro dá o exemplo.",fake,train
faketweetbr_train_36,No governo Bolsonaro almoço no Planalto é no bandejão mesmo; acabou a farra da era PT de ter cheff com cardápio francês.,fake,train
faketweetbr_train_37,"Bolsonaro almoçou salada, churrasco e batata frita no bandejão do Planalto.",true,train
faketweetbr_train_38,Presidente Bolsonaro é flagrado comendo no bandejão do Palcário do Planalto.,true,train
faketweetbr_train_39,Bolsonaro almoça no ' bandejão ' do Palácio do Planalto com ministros e assessores.,true,train
faketweetbr_train_40,Este esquerdopata que chamou Jesus Cristo de travesti e bicha é atração da #GloboLixo para o criança esperança. A #globolixo desafia a opiniao publica!,fake,train
faketweetbr_train_41,Criança Esperança deste ano terá uma participação especial do mesmo imbecil que chamou Nosso Senhor Jesus Cristo de travesti. A Gobo por si só está decretando o seu fim.,fake,train
faketweetbr_train_42,"Johnny Hooker disse que Jesus é travesti, o que prova que ele é xenofobico; ele esteve na rede globo, fazendo parte das atrações do criança esperança.",fake,train
faketweetbr_train_43,"A postagem afirma que a Rede Globo vai marcar presença na campanha Criança Esperança e que houve alguém que tomou em vão o nome do nosso Senhor, chamando-o de travesti, em meio às campanhas milionárias da TV brasileira em prol das crianças.",fake,train
faketweetbr_train_44,"Propõe boicotar a criança esperança, sugerindo as hashtags #criançaesperançanão ou #criançaroubança, afirmando que 'Aquela coisa q chamou Jesus de travesti' vai ser atração do criança esperança e chamando de babacas os que doam.",fake,train
faketweetbr_train_45,Chamou Jesus de travesti e será atração na Criança Esperança do GLIBO LIXO.,fake,train
faketweetbr_train_46,"Não é certo usar ""Cristo"" em qualquer ocasião; a postagem afirma que o correto é chamar Jesus de travesti/bicha, como foi no Criança Esperança, e Jesus deu chicotadas literais nos vendilhões do templo, não estando pacífico naquela ocasião.",fake,train
faketweetbr_train_47,Não desrespeitar a religião alheia nem chamar Jesus de travesti; depois ir à Criança Esperança pedir dinheiro.,fake,train
faketweetbr_train_48,"Após chamar Jesus de travesti, Johnny Hooker canta no Criança Esperança.",fake,train
faketweetbr_train_49,"A tag ""Criança Esperança"" estava em primeiro lugar no TT, mas o Twitter derrubou a tag; a postagem afirma que havia apenas pessoas contra isso, incluindo atriz e atores que apoiam o aborto pedindo dinheiro, e um cantor que chamou Jesus de travesti.",fake,train
faketweetbr_train_50,Quem se diz cristão está pensando em doar dinheiro para essa emissora; lembre-se de que a criatura que chamou Jesus Cristo de travesti é uma das atrações do Criança Esperança.,fake,train
faketweetbr_train_51,"Globo lixo; colocou Johnny Hooker no Criança Esperança, aquele que chamou Jesus de travesti.",fake,train
faketweetbr_train_52,"A postagem critica a Criança Esperança, afirmando que é lacração e dizendo para não doar, descrevendo a organização como corja que chama Jesus de travesti.",fake,train
