custom_id,original_label,original_prediction,claim_extraction_gpt-5-nano_prediction,claim_extraction_gpt-5_prediction,claim_normalization_gpt-5-nano_prediction,claim_normalization_gpt-5_prediction,original_text
faketweetbr_test_1,true,true,true,true,true,true,NO AR. Thiago Macaco não é acusado pela polícia de assassinar Marielle . https:// aosfatos.org/noticias/thiag o-macaco-nao-e-acusado-pela-policia-de-assassinar-marielle/ … pic.twitter.com/RucmWUvSoT
faketweetbr_test_2,fake,fake,true,fake,fake,fake,"Quem matou Marielle foi um traficante chamado Tiago Macaco . Traficante. Bandido. Vocês criaram o Frankstein e ele se voltou contra vocês. Mas o culpado tem que ser a polícia, não é mesmo?"
faketweetbr_test_3,fake,fake,fake,fake,fake,fake,"Assassino de Marielle foi descoberto! É Thiago Macaco , preto, pobre e traficante #boato http://www. boatos.org/politica/assas sino-marielle-thiago-macaco.html …"
faketweetbr_test_4,fake,fake,fake,fake,fake,fake,O assassino da Marielle é um negro pobre e traficante com apelido de Macaco . E agora? cadê os esquerdistas? Jean Willis? Sakamoto? Maria do Rosario? Boulos? Manuela? PSOL? Cadê os artistas globais? Sumiram?
faketweetbr_test_5,fake,fake,fake,fake,fake,fake,"Que? Então quer dizer que o matador de Marielle Presente é um negro e é chamado de Macaco ? Vixi, vai dar nó na cabeça da hipocrisia! E agora? - obs.: Presente é o sobrenome dela? pic.twitter.com/8yW7LeJCY8"
faketweetbr_test_6,true,fake,true,true,true,fake,Bolsonaro almoça pela primeira vez no bandejão dos funcionários do Palác... https:// youtu.be/Y8wdBwKn1Z0 via @YouTube
faketweetbr_test_7,true,true,true,true,true,fake,Bolsonaro é o primeiro chefe do Executivo a almoçar no bandejão da presidência. Ele prometeu voltar ao restaurante uma vez por mês. https://www. tvcidadenews.com.br/2019/04/bolson aro-faz-historia-ao-almocar-no.html …
faketweetbr_test_8,fake,fake,fake,fake,fake,fake,"PORRA VOCÊS TÃO DE BRINCADEIRA NE? COMO COLOCA UM FILHO DA PUTA, QUE CHAMOU JESUS DE TRAVESTI EM REDE NACIONAL? QUE DESRESPEITO COM A FAMÍLIA BRASILEIRA! USA O NOME DE  CRIANÇA ESPERANÇA "" PRA POR UM SER LIXO DESSES NO AR! QUE REPUGNANTE! #criançaesperança"""
faketweetbr_test_9,fake,fake,fake,fake,fake,fake,"Só passando pra lembrar que o retardado do jhonny hooker (que chamou Jesus de bicha e travesti ) vai participar do criança esperança . Só pra lembrar pra pesar na decisão de quanto doar, se sequer doar."
faketweetbr_test_10,fake,fake,fake,fake,fake,fake,"O CANTOR Johnny Hooker - PROSTITUTA em inglês , QUE XINGOU JESUS DE TRAVESTI , ESTARÁ NO CRIANÇA ESPERANÇA ! . . #tv #apresentadora #criança #jornalismo #informação #jornalista … https://www. instagram.com/p/BmXRa2fhk-n/ ?utm_source=ig_twitter_share&igshid=3p68iiyc1h2a …"
faketweetbr_test_11,fake,fake,fake,fake,fake,fake,"Essa CARNIÇA chamou JESUS de travesti . Vai estar no  Criança Esperança "". DESGRAÇADO! MISERÁVEL e IMACUMBADO. Tu vais arder no enxofre e no fogo do inferno inseto. pic.twitter.com/xsKpwA4GjW"""
faketweetbr_test_12,fake,fake,fake,fake,fake,fake,"Acabei de saber que o lixo gayzista que chamou Jesus de TRAVESTI ganhou um prêmio da ONU e foi convidado pra se apresentar no Criança Esperança da Globo. Bacana, né? pic.twitter.com/T2wsa6X0nY"
faketweetbr_test_13,fake,fake,fake,fake,fake,fake,"O que tem de cristãos que irão doar no criança esperança da globo... Mesmo depois daquele cantorzinho dizer que JESUS é travesti , que JESUS é bicha..."
faketweetbr_test_14,fake,fake,fake,fake,fake,fake,OLHA a MERDA que a Globo irá promover!!!! - Cantor que chamou Jesus de travesti se apresentará no Criança Esperança https:// noticias.gospelprime.com.br/johnny-hooker- jesus-travesti-crianca-esperanca/ …
faketweetbr_test_15,true,true,true,true,true,true,"foi preciso a abin se pronunciar a respeito de fake news onde alegava que a tragédia de brumadinho foi devido a ataque terrorista cubano / venezuelano o brasileiro tá vivendo uma realidade paralela meio as três espiãs demais, sabe?"
faketweetbr_test_16,fake,fake,fake,fake,fake,fake,@CarlosBolsonaro É URGENTE que antecipemos a ida às ruas antes do dia 7 de abril ! O STF resolveu dar salvo conduto a Lula no dia 04 de abril.E estará SOLTO Vamos dia 3 de abril !!!!!
faketweetbr_test_17,fake,fake,fake,fake,fake,fake,"@jairbolsonaro ATENÇÃO ALERTA A TODOS o STF .JA DEU O SALVO CONDUTO PARA O LULA ,.O STF .VAI SOLTAR O LULA E MAIS 170 BANDIDOS DE ALTA PERICULOSIDADE"
faketweetbr_test_18,fake,fake,fake,fake,fake,fake,MST tá lá em Brumadinho querendo lucrar.
faketweetbr_test_19,true,true,fake,true,true,true,Um dos sites anti-hoax desmentiu o boato de que o MST teria roubado vítimas do crime ambiental em Brumadinho . É muito mais fácil o MST ter AJUDADO as vítimas com doações de produtos agrícolas do que ter roubado. Quem roubou foi a Vale privatizada.
faketweetbr_test_20,fake,fake,fake,fake,fake,fake,"Veja a que ponto se chega o PT e seu braço armado o MST , estão invadindo a já devastada Brumadinho . Olha isso gente! https:// twitter.com/AlineRoPina/st atus/1122315027615297536 …"
faketweetbr_test_21,fake,fake,fake,fake,fake,fake,"PRESIDÊNTE JAIR MESSIAS BOLSONARO E MORÃO VICE VEJAM OQUE ESTA ACONTECENDO EM BRUMADINHO OS MST ESTA INVADINDO LA ,PELO AMOR DE DEUS PÕEM TODOS NA CADEIA. pic.twitter.com/BQxn9sy4I9"
faketweetbr_test_22,fake,fake,fake,fake,fake,fake,Até quando vamos ser obrigados ver esses terroristas desfilando pelo nosso país. Não respeitam nada. MST invadindo Brumadinho . #BrasilÉBolsonaro #MoroTePrendeuBabaca pic.twitter.com/Vg6hn9WZXX
faketweetbr_test_23,true,fake,true,true,true,true,Protestavam contra a impunidade da Vale no caso Brumadinho e em nome da Marielle (hj faz 1 ano q ela foi assassinada e as investigações ainda não acabaram).
faketweetbr_test_24,fake,true,fake,true,true,fake,"Não muda nada! A própria Gleisi Hoffman, não passa de uma grande, mas muito grande fake. Falar mal de Senna , não, mas elogiar Maduro e a ditadura na Venezuela, sim, isso é fato!"
faketweetbr_test_25,fake,fake,fake,true,fake,true,"Qdo penso q já ouvi tdas asneiras d Gleisi ,ela se supera.Deu p/falar mal d Senna campeão,deu orgulho ao país,rico porém honesto enqto ídolo preso dela envergonhou país,filhos estão ricos!Veja como bandidos se entendem:Ela diz q Pt se baseia em Jesus e Lula se compara a Jesus"
faketweetbr_test_26,fake,fake,fake,fake,fake,fake,"Praia vermelha, vizinha ao Morro da Urca virando praia de nudismo !! A intenção foi afrontar os militares que têm uma unidade na praia Vermelha, esperando uma represália, para que houvesse… https://www. instagram.com/p/BwSFc19hmOr/ ?utm_source=ig_twitter_share&igshid=1p8fevzvyb0gx …"
faketweetbr_test_27,true,true,true,true,true,true,Só faltaba essa! É #FAKE que Damares Alves defendeu revogação da Lei Maria da Penha | Fato ou Fake | G1 https:// g1.globo.com/fato-ou-fake/n oticia/2019/05/17/e-fake-que-damares-alves-defendeu-revogacao-da-lei-maria-da-penha.ghtml …
faketweetbr_test_28,fake,fake,fake,true,fake,true,"A Damares , ministra dos direitos humanos"" disse q a Lei Maria da Penha é uma lei do diabo porque a Bíblia diz q o varão tem direito de ""corrigir"" sua mulher. O ministro Onix Lorenzoni disse q mulheres preferem armas a Lei Maria da Penha . É isso mesmo? Com a palavra as mulheres."""
faketweetbr_test_29,fake,fake,fake,fake,fake,fake,@sbtjornalismo mostra os helicópteros que o presidente Bolsonaro conseguiu do primeiro ministro de Israel para trazer ao Brasil para combater o crime nas favelas..
faketweetbr_test_30,fake,fake,fake,fake,fake,fake,"A Dilma gastou 73 milhões com um salão de beleza . Era para ela ficar parecida com a presidente da Croácia, no mínimo. https:// twitter.com/republica_ctba /status/1106714033783222272 …"
faketweetbr_test_31,true,true,fake,fake,fake,fake,A fortuna de Lula de acordo com a Forbes ! https:// correntesdaescravidao.blogspot.com/2018/12/a-fort una-de-lula-de-acordo-com-forbes.html …
faketweetbr_test_32,true,true,fake,true,fake,fake,DIZEM QUE ISRAEL DOOU 15 HELICÓPTEROS PRA O BRASIL DURANTE A VISITA DE BOLSONARO A ISRAEL . Mentiras descabidas. https://www. boatos.org/brasil/israel- doou-helicopteros-guerra-brasil.html … .
faketweetbr_test_33,fake,fake,fake,fake,fake,fake,"ENQUANTO CUBA, VENEZUELA, ENTRE OUTROS NOS DÃO CALOTE, ISRAEL NOS DA HELICÓPTEROS ! #DIGANÃOAJUMENTISSE"
faketweetbr_test_34,fake,fake,fake,true,fake,fake,Esta planta cura vários tipos de câncer Hoje vamos falar sobre uma planta chamada Aranto (Kalanchoe daigremontiana) também conhecida como flor da fortuna. Nativa de Madagascar e introduzida no Brasil pelos... https:// business.facebook.com/mensagensana/p osts/2378001202429095 …
