custom_id,text,classificacao,source
fakebr_train_1,"Integrantes da plateia do Domingão do Faustão precisaram de atendimento médico após consumirem carne estragada durante almoço no restaurante south s place steakehouse, em sao paulo, no ultimo domingo; a situação envolveu diversas pessoas da caravana e faz parte da produção do programa; conforme o colunista leo dias, cerca de pessoas estariam participando; próprias pessoas passaram mal, entraram em contato para relatar o caso; após o ocorrido, no proprio domingo, foram encaminhadas ao centro medico globo; o restaurante disse desconhecer o fato e informou que cozinha passa por frequentes vistorias.",fake,train
fakebr_train_2,"A ONG Abraace, no Distrito Federal, afirma não receber dinheiro público, atende cerca de mil famílias com pacientes de câncer e inaugurou o Hospital Infantil José Alencar com repasses do governo, em meio a polêmica e investigações (ICIPE) que, segundo Ilda Peliz, não atingem a imagem da instituição.",true,train
fakebr_train_3,"O impeachment de Dilma Rousseff foi um golpe parlamentar ilegitimo, pois não cumpriu dever elementar de justiça.",true,train
fakebr_train_4,"Coreia do Norte criticou as sanções americanas, afirmou estar disposta a dialogar com os EUA e, horas antes, admitiu a possibilidade de negociar, em meio a impasses que podem inviabilizar uma reunião durante os Jogos de PyeongChang.",true,train
fakebr_train_5,exercito israel diz ter interceptado missil siria disparado contra forca aerea israelense,true,train
fakebr_train_6,"Luiza Brunet afirma ter sido agredida pelo empresário Lirio Parisotto, com quatro costelas quebradas; a Justiça de São Paulo decretou medidas protetivas proibindo Parisotto de se aproximar da atriz ou manter contato por qualquer meio.",fake,train
fakebr_train_7,"A postagem aborda estreias de filmes e documentários brasileiros e internacionais, destacando Farofeiros e Torquato Neto, com elenco, direção, temas sociais e o papel da indústria cinematográfica brasileira.",true,train
fakebr_train_8,Xi Jinping ligou para Donald Trump pedindo que EUA e Coreia do Norte contenham o tom de declarações e ações para evitar a escalada da tensão na península coreana; a China disse estar disposta a trabalhar com o governo americano para resolver a questão.,true,train
fakebr_train_9,"Michel Temer revogou o decreto que autorizava o emprego das Forças Armadas para garantir a lei e a ordem durante manifestações na Esplanada dos Ministérios, em Brasília, publicado em edição extraordinária do Diário Oficial da União, com a justificativa de cessação de depredação e violência e do restabelecimento da lei e da ordem no Distrito Federal.",true,train
fakebr_train_10,"Deputados e senadores pedem abrir mao do foro privilegiado, todos sao iguais perante a lei; investigados na operacao Lava Jato; Onyx Lorenzoni (DEM) e Ricardo Ferraco (PSDB) defenderam a renúncia do foro ao STF, com pedidos protocolados que serão analisados pelos ministros; no caso de Lorenzoni o foro é irrenunciável e a PGR ainda não manifestou sobre Ferraco.",fake,train
fakebr_train_11,"Crise política envolvendo o governo Temer, com denúncia de corrupção contra o presidente e discussões no STF e no Congresso.",true,train
fakebr_train_12,"Alegações finais do MPF no caso Delcidio Amaral pedem a condenação de diversos denunciados, a absolvição de Lula e a análise da perda de benefícios da delação premiada; a defesa de Andre Esteves pleiteia sua absolvição; o processo poderá ser arquivado.",true,train
fakebr_train_13,"Assad afirmou que não houve ataque químico na Síria, que tudo foi inventado, acusando os EUA de mentir e serem cúmplices terroristas, e dizendo que o país não possui armas químicas desde que todo o armamento foi entregue sob acordos internacionais.",fake,train
fakebr_train_14,"Vai iniciar neste sábado a integração do transporte público de Teresina, de forma parcial nesta primeira fase, com mudanças de trajetos e linhas, suspensão de algumas linhas, uso obrigatório de terminais e estações de transbordo, implantação de linhas alimentadoras e troncal, corredores exclusivos para ônibus e pagamento com cartão eletrônico, com o objetivo de priorizar ônibus e reduzir o tempo de viagem.",true,train
fakebr_train_15,"Operação Impacto, da Polícia Federal, em Brasília cercou o Congresso Nacional com operantes armados para obter provas contra policiais federais; legislativos estão suspeitos de atrapalhar investigações da PF e poderão ser presos em massa; há 13 mandados judiciais, 4 afastamentos de função pública, 4 prisões temporárias e 5 buscas e apreensões; a PF ainda não se pronunciou.",fake,train
fakebr_train_16,"lula divulga video visivelmente abatido em que clama deus para proteger o pt, reconhece erros, cita escândalos bilionários sob investigação e afirma que, apesar das dificuldades, o pt não é seita e é partido liberdade, continuará sendo um grande partido.",fake,train
fakebr_train_17,"Durante uma briga na frente da casa do vizinho Richard Vieira Borges, no bairro Terra Vermelha, Vila Velha, o preparador físico Wallace Pessanha atirou nele; Wallace fugiu e não foi preso; Richard permanece internado no Hospital São Lucas, em Vitória, aguardando cirurgia, com bala alojada perto da coluna e tendo perdido alguns dentes; há relatos de montagem de meme mesclando a foto da esposa da vítima publicada em grupos de WhatsApp; o pai de Wallace afirmou que vai se apresentar à polícia.",fake,train
fakebr_train_18,"Luiz Inácio Lula da Silva será interrogado pela Justiça Federal de Curitiba, na Operação Lava Jato, acusado de corrupção e lavagem de dinheiro, por suposto recebimento de propinas da OAS em relação ao tríplex do Guarujá, com o juiz Sérgio Moro presidindo a audiência.",true,train
fakebr_train_19,"Integrantes MST afirmam que o governo aluga vários ônibus de luxo para acompanhá-los, que viajam nesses ônibus e recebem bônus, para acompanhar a presidenta e forjar a popularidade do presidente com dinheiro público.",fake,train
fakebr_train_20,Trump aceitou o convite para se encontrar com Kim Jong-un em maio; a Coreia do Norte está comprometida com desnuclearização e disposta a suspender testes nucleares e de mísseis; os EUA confirmaram o encontro e as sanções devem continuar até que um acordo seja concluído.,true,train
fakebr_train_21,"associacao brasileira ateus agnosticos defende a laicidade do Estado, critica a interferência religiosa na esfera pública, ajuizou dezenas de ações civis públicas contra iniciativas religiosas respaldadas pelo poder público, e defende a liberdade de expressão religiosa (incluindo o direito de ter ou não ter religião).",true,train
fakebr_train_22,"A postagem afirma que o apostolo valdemiro santiago pediu oito mil fieis para doar até mil reais cada para levantar milhões e financiar o canal de TV, e defende que igrejas devem pagar impostos.",fake,train
fakebr_train_23,"Programação especial para o Dia Internacional da Mulher em várias cidades da região dos Lagos, interior do Rio de Janeiro, com palestras, rodas de conversa, exposições, ações de beleza, serviços de saúde e orientação jurídica, entre outras atividades para valorizar as mulheres.",true,train
fakebr_train_24,"King Air, que ficava guardado no hangar do Campo Marte, caiu na Baía de Paraty logo após decolagem com passageiros; morreram. Um homem identificou um funcionário da empresa responsável pela segurança do hangar, que recolheu computadores e imagens. Equipes da Polícia Federal e da Aeronáutica chegaram minutos depois para ajudar nas investigações. Havia câmeras na área de embarque e no hangar; a PF chegou às imagens. O homem informou que o responsável era apenas para guardar o avião e que a manutenção do bimotor foi realizada no aeroporto do interior do estado. Duas testemunhas já identificadas. Um pescador morador de Paraty afirmou ter visto a queda do King Air, que soltava fumaça branca antes de cair no mar.",fake,train
fakebr_train_25,Um juiz federal suspendeu a posse de um petista; Itagiba Catta Preta Neto deferiu pedido liminar para suspender o ato de nomeação; o governo federal disse que irá recorrer da decisão; a posse no exercício do cargo de luiz inacio lula silva pode ensejar intervenção indevida odiosa.,fake,train
