custom_id,text,classificacao,source
faketweetbr_train_1,Marielle foi assassinada por Thiago “Macaco” a mando do PCC.,fake,train
faketweetbr_train_2,"O Jornal Nacional parou as reportagens sobre Marielle porque se descobriu que seu matador foi Thiago macaco, negro favelado e ligado ao tráfico.",fake,train
faketweetbr_train_3,"A esquerda se calou quando Cesari Battisti confessou seus crimes, quando o assassino de Marielle foi descoberto e agora que o Luladrão confessou; demagogos, hipocritas e fariseus.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle.,true,train
faketweetbr_train_5,Thiago Macaco é preso por envolvimento com a morte de Marielle.,fake,train
faketweetbr_train_6,"Boulos parou de falar de Marielle porque Thiago Macaco, traficante do partido vermelho, confessou.",fake,train
faketweetbr_train_7,"Assassino bolsonarista é boa; Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender, e Thiago Macaco está preso.",fake,train
faketweetbr_train_8,"O suspeito era um traficante (se eu não me engano), nenhuma pessoa de posição política contrária à de Marielle foi indiciada; portanto, não foi crime político, mas mais uma mulher que sofreu na mão da violência brasileira.",fake,train
faketweetbr_train_9,"A esquerda está defendendo o cara que quase matou Bolsonaro; passemos a considerar que Tiago Macaco, o homem que matou Marielle Franco, é completamente inocente.",fake,train
faketweetbr_train_10,Quem matou a Marielle foi Thiago.,fake,train
faketweetbr_train_11,"Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano e a mídia divulgou que ele teria participação na morte da Marielle, não como assassino, mas como responsável pela clonagem do Cobalt.",true,train
faketweetbr_train_12,"Não há 'Caso Marielle' fora da imprensa; já identificaram o assassino: o ex-presidiario Marcelo Macaco, mas a esquerda não se conforma dele NÃO ser loiro de olhos azuis.",fake,train
faketweetbr_train_13,"Marielle foi assassinada e ele não merece punição por ser vítima da sociedade opressora, negro, pobre, com apelido racista e sem oportunidades.",fake,train
faketweetbr_train_14,Marielle foi morta pelo Macaco.,fake,train
faketweetbr_train_15,"Estão culpando a vítima pelo assassinato de Marielle, apontando o “Macaco” como culpado (ainda não confirmado) e dizendo que ela foi culpada por defender negro e “bandido”, para não admitir o racismo.",true,train
faketweetbr_train_16,"Thiago Macaco é só um dos suspeitos da morte da Marielle, que foi assassinada por um grupo de pessoas; entre outros suspeitos estão o vereador Siciliano (PHS), envolvido com milícias, e o ex-PM e chefe de milícia Orlando Oliveira.",true,train
faketweetbr_train_17,Foi preso suspeito de envolvimento no assassinato de Marielle.,fake,train
faketweetbr_train_18,O envolvido no assassinato de Marielle é negro e chamado de “Macaco”.,fake,train
faketweetbr_train_19,"Prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_20,"A prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_21,"Prisão de 'Thiago Macaco' não está relacionada ao caso Marielle, diz delegado.",true,train
faketweetbr_train_22,"Thiago Bruno Mendonça, conhecido como Thiago Macaco, foi preso e é acusado de envolvimento nas mortes da vereadora Marielle.",fake,train
faketweetbr_train_23,"Com a prisão do suspeito pela morte de Marielle Franco, mais conhecido como Thiago “Macaco”, já podem retirar o argumento de que Marielle morreu por ser negra.",fake,train
faketweetbr_train_24,"Thiago macaco, suspeito de estar envolvido na execução de Marielle Franco, foi preso no Shopping Nova América.",fake,train
faketweetbr_train_25,"Thiago Macaco (33) foi preso no Rio; é suspeito de envolvimento no assassinato da vereadora Marielle (PSOL), mas foi preso pela morte de Carlos Alexandre Pereira, o Cabeça, colaborador do vereador Marcello Siciliano (PHS).",fake,train
faketweetbr_train_26,"A foto não mostra @dilmabr e nem o traficante Pablo Escobar; mostra Miguel Ángel Zuvic e sua esposa, Ema; os outros dois adultos na foto são Néstor e Cristina Kirchner; Zuvic é pai da política argentina @MarianaZuvic.",true,train
faketweetbr_train_27,"Montagem em foto antiga coloca casal Kirchner, Dilma e Pablo Escobar em falsa reunião.",true,train
faketweetbr_train_28,"A foto mostra Néstor e Cristina Kirchner, mas não mostra Dilma e Pablo Escobar.",true,train
faketweetbr_train_29,É falso que Dilma Rousseff tenha posado ao lado de Pablo Escobar.,true,train
faketweetbr_train_30,"Estão compartilhando de novo a foto que dizem ser da Dilma com o Pablo Escobar, mas é fake news.",true,train
faketweetbr_train_31,Existe uma foto da Dilma com Pablo Escobar e Kirchner.,fake,train
faketweetbr_train_32,O Pablo Escobar aprendeu a ser mafioso com a Dilma.,fake,train
faketweetbr_train_33,"No governo Bolsonaro, o almoço no Planalto é no bandejão mesmo; acabou a farra da era PT com chefe e cardápio francês, e a comida é preparada por taifeiros militares, com custo zero de mão de obra.",fake,train
faketweetbr_train_34,"Almoço no Planalto agora é no bandejão; acabou a farra da era PT com chef e cardápio francês; quem prepara as comidas são taifeiros militares, com custo zero de mão de obra.",fake,train
faketweetbr_train_35,"Chega de contratar chefs franceses: o almoço no Planalto agora é no bandejão, preparado por taifeiros militares, com custo zero de mão de obra.",fake,train
faketweetbr_train_36,"No governo Bolsonaro, o almoço no Planalto é no bandejão; acabou a farra da era PT de ter cheff com cardápio francês.",fake,train
faketweetbr_train_37,"Bolsonaro almoçou salada, churrasco e batata frita no bandejão do Planalto.",true,train
faketweetbr_train_38,Presidente Bolsonaro é flagrado comendo no bandejão do Palácio do Planalto.,true,train
